arm,channel,swap_type,n,mae_delta
B_concat,d1_own_dft,*C#N>>*F,20,3.0123689463554926
B_concat,d1_own_dft,*C#N>>*[H],125,1.822059121166929
B_concat,d1_own_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,1.3901755063250198
B_concat,d1_own_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,1.698045265895322
B_concat,d1_own_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,3.088858891519144
B_concat,d1_own_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,1.2257680675474558
B_concat,d1_own_dft,*C(=O)C([H])([H])[H]>>*[H],60,1.170776885523892
B_concat,d1_own_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,1.7863197175304288
B_concat,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,1.8368768421966506
B_concat,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,1.8649169580180558
B_concat,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,1.3796176379211142
B_concat,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,1.7633761994675294
B_concat,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,1.1699045075305727
B_concat,d1_own_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,2.4503399192411455
B_concat,d1_own_dft,*C(=O)OC([H])([H])[H]>>*[H],265,2.835361825883619
B_concat,d1_own_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,2.740607694239166
B_concat,d1_own_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,0.7881456548279475
B_concat,d1_own_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,1.3636715082458644
B_concat,d1_own_dft,*C([H])([H])[H]>>*[H],445,3.0103668435685704
B_concat,d1_own_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,1.472092254102438
B_concat,d1_own_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,1.840655797410177
B_concat,d1_own_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,2.7919284928413695
B_concat,d1_own_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,2.2318246918267897
B_concat,d2_own_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,4.3480517262503495
B_concat,d2_own_dft,*Br>>*C#N,10,1.154933450027607
B_concat,d2_own_dft,*Br>>*Cl,30,1.4935099235536167
B_concat,d2_own_dft,*C#N>>*C(=O)C([H])([H])[H],490,2.140940784291093
B_concat,d2_own_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,2.1888049712001463
