rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
3934,-65.91512395691969,151.5868619933393,-75.6845003720481,-15.849617917888509,-6.5324213157169,-0.803434829913113,-13.197459479667137,-549.610504775233,-549.632409015784,-235.764168188237,-235.791971550249,13.745118467879918,17.44687307334136,31.191991541221277
3963,-54.68650896113144,119.71519684524516,-56.964747744208516,-14.816968749074679,-6.0277650189764,-0.7616444559670379,-13.54459834822832,-628.236622356216,-628.262212007226,-157.165056842878,-157.184071829344,16.057748446757724,11.932084156599325,27.98983260335705
3966,-21.671070560235282,62.947090803659584,-28.52739927701744,-14.550830309448301,-7.801830938611789,-2.4972409700459366,-12.098882973240238,-457.433335992615,-457.442642654235,-363.875757028998,-363.889553389392,5.840018338432817,8.657346854821768,14.497365193254584
3974,-47.6203706319188,113.99044667590076,-58.776002322563826,-16.389459172847307,-4.300799332954712,-3.3269451035698583,-16.42392155390622,-351.249010560049,-351.273210270627,-418.053001109705,-418.082577112155,15.185547657272961,18.559221742270502,33.744769399543465
3983,-21.866698521302876,63.19774500775683,-34.26611341468816,-13.998348566394924,-10.632767139748472,-2.0030792045006147,-19.56804428224569,-351.261875097615,-351.273188548492,-494.843508360082,-494.862457002151,7.099297609645535,11.89045241893184,18.989750028577376
3986,-12.539877116067142,48.15146559707717,-22.756086398674835,-12.918444922138669,-9.149504798130776,-1.889561987631231,-11.100905459894925,-351.268797174223,-351.273217180624,-494.846243159581,-494.862412733899,2.773595892050556,10.146561076138536,12.920156968189092
3988,-21.961789549975872,57.87883803403453,-28.28304978610801,-15.015281509427053,-7.5141410626043985,-2.3439752323081318,-17.23845137883024,-351.257194716145,-351.273246569391,-494.848209011247,-494.862430910242,10.072689988125006,8.924376358533372,18.99706634665838
3989,-38.946973084998454,96.52216097880944,-45.15362279450455,-14.950494670283092,-11.170454280184707,-1.8631086354916797,-15.559623889843303,-681.415307086847,-681.448471962565,-157.168680551494,-157.184085633359,20.81127371920626,9.666834819003759,30.478108538210016
3990,-32.092131816673614,82.58861845334837,-40.88220985572211,-11.858540255824593,-12.698011888067045,-3.0091097979303707,-17.957222505000864,-796.848044706365,-796.870906723246,-157.1710155897,-157.18406865437,14.346132188977673,8.190921745985703,22.537053934963375
4004,-37.58465848818536,98.56983081828415,-50.65974489802851,-14.336042915363876,-11.40693938310855,-2.650210586062931,-18.065498260735293,-456.755833953479,-456.784979354885,-457.428886578488,-457.44264824422,18.28901550765356,8.635575625704943,26.924591133358504
